Data,Hora_Jg,Liga,rodada,casa,fora,Met_final,Confianca_regra,CS%_Ca,CS%_Fo,Ht_CS%_Gral_Ca,Ht_CS%_Ca,Ht_CS%_Gral_Fo,Ht_CS%_Fo,%Pri_Mark_Gral_Ca,%Pri_Mark_Ca,%Pri_Mark_Gral_Fo,%Pri_Mark_Fo,Delta_Share,Delta_ScoreS,xG_Saldo_Ca,xG_Saldo_Fo,%V_Ca,%E_Ca,%D_Ca,%V_Fo,%E_Fo,%D_Fo,Pos_lga_Gl_Ca,Pos_lga_Gl_Fo,Pos_lga_Ca,Pos_lga_Fo,Over25%_Ca,Over25%_Fo,AMB%_Ca,AMB%_Fo,jgs_Ca,jgs_Fo,Score%_Ca,Score%_Fo,Risco_Emp,Over25_mean,AMB_mean,Amostra_min,xG_Total,BC_h1_vitoria,BC_h2_derrota_fo,BC_h3_score,BC_h4_empate,BC_h5_amostra,BC_hard_ok,BC_hard_pts,BC_s1_share,BC_s2_scores,BC_s3_cs,BC_s4_xg,BC_soft_pts,BC_score,BF_h1_vitoria,BF_h2_derrota_ca,BF_h3_score,BF_h4_empate,BF_h5_amostra,BF_hard_ok,BF_hard_pts,BF_s1_share,BF_s2_scores,BF_s3_cs,BF_s4_xg,BF_soft_pts,BF_score,OV_h1_over25,OV_h2_amb,OV_h3_defesas,OV_hard_ok,OV_hard_pts,OV_s1_xg_total,OV_s2_equilibrio,OV_soft_pts,OV_score,BTTS_h1_amb,BTTS_h2_over,BTTS_h3_defesas,BTTS_hard_ok,BTTS_hard_pts,BTTS_s1_xg_duplo,BTTS_s2_historico,BTTS_soft_pts,BTTS_score,Diff_Pos,Forma_Ca,Forma_Fo,BC_score_norm,BF_score_norm,OV_score_norm,BTTS_score_norm,Met_sugerido,Lado_Ap,Score_Escolhido,Confianca,Alertas,IVR_Base,IVR_Total,Classificacao_IVR,Stake_Sugerida,Alerta_IVR,Explicacao_IVR
2026-03-08,11:00,Franca_1,25,Lens,Metz,Back_Casa,Alta,0.5,0.08,0.54,0.58,0.38,0.17,0.63,0.67,0.25,0.33,0.42,2.93,0.52,-1.04,0.83,0.0,0.17,0.08,0.08,0.83,2,18,2,18,0.58,0.75,0.42,0.58,12,12,1.66,0.25,0.08,0.665,0.5,12,3.56,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,False,False,0,-1,True,True,False,False,4,True,False,1,-1,False,True,False,False,2,False,False,0,-1,16,0.6599999999999999,-0.75,14.0,-1.0,-1.0,-1.0,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,15.104500000000002,ALTA CONFIANÇA,1.2,⚠️ Mismatch posição geral (diff=-16) | ✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.39 | Ajuste_xG=+0.18 | Ajuste_CS_1X2=+0.63 | Penal_risco_emp=-0.10 | IVR_Total=15.10
2026-03-09,16:30,Espanha_2,29,Almería,Cultural y Deportiva Leonesa,Back_Casa,Alta,0.21,0.14,0.54,0.57,0.57,0.5,0.64,0.71,0.36,0.5,0.15999999999999998,1.2400000000000002,0.53,-0.54,0.64,0.14,0.21,0.36,0.14,0.5,4,20,6,11,0.86,0.64,0.79,0.57,14,14,1.1400000000000001,0.57,0.14,0.75,0.6799999999999999,14,3.0700000000000003,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,False,False,0,-1,True,True,True,True,6,True,False,1,7,True,True,True,True,6,False,True,1,7,5,0.43000000000000005,-0.14,14.0,-1.0,12.25,12.25,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.854,ALTA CONFIANÇA,1.2,⚠️ Mismatch posição geral (diff=-16) | ✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.21 | Ajuste_xG=+0.19 | Ajuste_CS_1X2=+0.63 | Penal_risco_emp=-0.18 | IVR_Total=14.85
2026-03-07,10:00,Alemanha_3,28,Wehen Wiesbaden,Stuttgart II,Back_Casa,Alta,0.23,0.14,0.7,0.85,0.67,0.57,0.56,0.77,0.44,0.36,0.15999999999999998,1.2999999999999998,0.5899999999999999,-0.020000000000000018,0.69,0.08,0.23,0.29,0.21,0.5,8,15,3,13,0.62,0.57,0.69,0.57,13,14,1.19,0.52,0.21,0.595,0.6299999999999999,13,2.61,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,False,False,0,-1,True,True,True,True,6,True,False,1,7,True,True,True,True,6,False,True,1,7,10,0.45999999999999996,-0.21000000000000002,14.0,-1.0,12.25,12.25,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.795000000000002,ALTA CONFIANÇA,1.2,✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.22 | Ajuste_xG=+0.21 | Ajuste_CS_1X2=+0.63 | Penal_risco_emp=-0.26 | IVR_Total=14.80
2026-03-07,14:00,Italia_1,28,Atalanta,Udinese,Back_Casa,Alta,0.36,0.15,0.67,0.64,0.48,0.31,0.56,0.57,0.41,0.31,0.18,1.46,0.7400000000000002,-0.42000000000000015,0.57,0.29,0.14,0.38,0.08,0.54,7,10,3,11,0.43,0.54,0.5,0.62,14,13,1.1099999999999999,0.52,0.29,0.485,0.56,13,3.16,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,True,False,1,-1,False,True,False,False,2,True,False,1,-1,True,False,True,False,4,False,True,1,-1,8,0.42999999999999994,-0.16000000000000003,14.0,-1.0,-1.0,-1.0,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.7745,ALTA CONFIANÇA,1.2,✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.25 | Ajuste_xG=+0.26 | Ajuste_CS_1X2=+0.63 | Penal_risco_emp=-0.36 | IVR_Total=14.77
2026-03-08,12:45,Holanda_2,30,Cambuur,Utrecht II,Back_Casa,Alta,0.38,0.07,0.52,0.46,0.48,0.5,0.63,0.69,0.34,0.29,0.19999999999999996,1.6099999999999999,0.4800000000000002,0.030000000000000027,0.77,0.23,0.0,0.21,0.29,0.5,2,14,2,16,0.62,0.57,0.62,0.57,13,14,1.27,0.21,0.29,0.595,0.595,13,2.5100000000000002,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,False,True,1,-1,True,True,False,False,4,True,False,1,-1,True,True,True,True,6,True,True,2,8,14,0.77,-0.29000000000000004,14.0,-1.0,-1.0,14.0,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.709249999999999,ALTA CONFIANÇA,1.2,⚠️ Mismatch posição geral (diff=-12) | ✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.27 | Ajuste_xG=+0.17 | Ajuste_CS_1X2=+0.63 | Penal_risco_emp=-0.36 | IVR_Total=14.71
2026-03-07,10:00,Espanha_1,27,CA Osasuna,RCD Mallorca,Back_Casa,Alta,0.33,0.08,0.77,0.67,0.31,0.31,0.42,0.67,0.31,0.15,0.26,1.77,0.09999999999999987,-0.76,0.58,0.25,0.17,0.08,0.15,0.77,10,18,6,19,0.58,0.69,0.67,0.54,12,13,1.35,0.25,0.25,0.635,0.605,12,2.86,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,False,False,0,-1,True,True,True,True,6,True,False,1,7,True,True,True,True,6,False,True,1,7,13,0.4099999999999999,-0.6900000000000001,14.0,-1.0,12.25,12.25,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.667250000000001,ALTA CONFIANÇA,1.2,✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.31 | Ajuste_CS_1X2=+0.63 | Penal_risco_emp=-0.31 | IVR_Total=14.67
2026-03-06,16:45,Franca_1,25,PSG,Monaco,Back_Casa,Alta,0.82,0.18,0.71,0.91,0.58,0.55,0.88,1.0,0.42,0.27,0.32,2.9099999999999997,1.44,-0.24,0.91,0.09,0.0,0.27,0.27,0.45,1,7,1,10,0.64,0.45,0.18,0.55,11,11,1.36,0.27,0.27,0.545,0.365,11,3.6799999999999997,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,True,False,1,-1,False,False,False,False,0,True,False,1,-1,False,True,False,False,2,False,False,0,-1,9,0.91,-0.18,14.0,-1.0,-1.0,-1.0,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.639999999999999,ALTA CONFIANÇA,1.2,✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.36 | Ajuste_xG=+0.28 | Ajuste_CS_1X2=+0.34 | Penal_risco_emp=-0.34 | IVR_Total=14.64
2026-03-07,12:00,Inglaterra_3,36,Bradford City,Leyton Orient,Back_Casa,Alta,0.53,0.19,0.59,0.76,0.45,0.44,0.59,0.76,0.42,0.25,0.21999999999999997,1.7700000000000005,0.4800000000000002,-0.19999999999999996,0.76,0.12,0.12,0.25,0.06,0.69,4,21,3,20,0.47,0.75,0.47,0.5,17,16,1.45,0.37,0.12,0.61,0.485,16,2.68,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,True,False,1,-1,True,False,False,False,2,True,False,1,-1,False,True,False,False,2,False,False,0,-1,17,0.64,-0.43999999999999995,14.0,-1.0,-1.0,-1.0,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.552749999999998,ALTA CONFIANÇA,1.2,⚠️ Mismatch posição geral (diff=-17) | ✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.30 | Ajuste_xG=+0.17 | Ajuste_CS_1X2=+0.24 | Penal_risco_emp=-0.15 | IVR_Total=14.55
2026-03-07,13:15,Italia_2,29,Venezia,Reggiana,Back_Casa,Alta,0.5,0.29,0.64,0.71,0.36,0.43,0.64,0.71,0.32,0.36,0.30000000000000004,2.43,0.9299999999999999,-0.98,0.86,0.0,0.14,0.21,0.21,0.57,1,15,1,13,0.71,0.5,0.43,0.57,14,14,1.43,0.35,0.21,0.605,0.5,14,3.91,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,True,False,1,-1,True,True,False,False,4,True,False,1,-1,False,True,False,False,2,False,False,0,-1,12,0.72,-0.36,14.0,-1.0,-1.0,-1.0,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.51,ALTA CONFIANÇA,1.2,⚠️ CS alto do adversário (0.29 ≥ 0.20) | ⚠️ Mismatch posição geral (diff=-14) | ✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.35 | Ajuste_xG=+0.28 | Ajuste_CS_1X2=+0.14 | Penal_risco_emp=-0.26 | IVR_Total=14.51
2026-03-06,16:30,Alemanha_1,25,Bayern München,Borussia M'gladbach,Back_Casa,Alta,0.33,0.33,0.58,0.58,0.58,0.58,0.71,0.83,0.33,0.33,0.28,2.42,1.49,-0.3999999999999999,0.83,0.08,0.08,0.25,0.25,0.5,1,12,1,8,1.0,0.5,0.67,0.42,12,12,1.33,0.33,0.25,0.75,0.545,12,3.8899999999999997,True,True,True,True,True,True,10,True,True,True,True,4,16,False,False,False,True,True,False,4,False,False,True,False,1,-1,True,True,True,True,6,True,False,1,7,False,True,True,False,4,False,False,0,-1,7,0.75,-0.25,14.0,-1.0,12.25,-1.0,Back_Casa,Casa,14.0,Muito_Alta,✓ Sem alertas,14.0,14.453,ALTA CONFIANÇA,1.2,⚠️ CS alto do adversário (0.33 ≥ 0.20) | ⚠️ Mismatch posição geral (diff=-11) | ✓ Sem alertas,Base(Score_Escolhido)=14.00 | Ajuste_deltas=+0.35 | Ajuste_xG=+0.28 | Ajuste_CS_1X2=+0.14 | Penal_risco_emp=-0.31 | IVR_Total=14.45
